ID,PARENT_ID,URI,FILE_PATH,NAME,METHOD,STATUS,SIZE,TYPE,EXT,LAST_MODIFIED,EXTENSION_MISMATCH,HASH,FORMAT_COUNT,PUID,MIME_TYPE,FORMAT_NAME,FORMAT_VERSION
2,,file://corpus/sip_2014.0037.01082/data/Folder_2,\corpus\sip_2014.0037.01082\data\Folder_2,Folder_2,,Done,,Folder,,2019-01-02T14:34:33,false,,,,,,
3,2,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3,Folder_3,,Done,,Folder,,2019-01-02T14:34:45,false,,,,,,
4,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_4,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_4,File_4,,Done,3089,File,001,1980-01-01T18:24:10,false,,0,,,,
5,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_5,File_5,Extension,Done,98,File,doc,1989-05-14T19:14:52,false,,8,fmt/892,application/vnd.wordperfect,Compound WordPerfect for Windows Document,6 onwards
5,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_5,File_5,Extension,Done,98,File,doc,1989-05-14T19:14:52,false,,8,fmt/754,application/msword,Microsoft Word Document (Password Protected),97-2003
5,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_5,File_5,Extension,Done,98,File,doc,1989-05-14T19:14:52,false,,8,fmt/609,application/msword,Microsoft Word (Generic),6.0-2003
5,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_5,File_5,Extension,Done,98,File,doc,1989-05-14T19:14:52,false,,8,x-fmt/329,,Interleaf Document,
5,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_5,File_5,Extension,Done,98,File,doc,1989-05-14T19:14:52,false,,8,x-fmt/273,application/msword,Microsoft Word for MS-DOS Document,3.0
5,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_5,File_5,Extension,Done,98,File,doc,1989-05-14T19:14:52,false,,8,x-fmt/131,,Stationery for Mac OS X,
5,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_5,File_5,Extension,Done,98,File,doc,1989-05-14T19:14:52,false,,8,x-fmt/43,,Wordperfect Secondary File,5.1/5.2
5,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_5,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_5,File_5,Extension,Done,98,File,doc,1989-05-14T19:14:52,false,,8,x-fmt/42,,Wordperfect Secondary File,5.0
6,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_6,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_6,File_6,,Done,1053,File,001,1989-04-20T07:05:06,false,,0,,,,
7,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_7,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_7,File_7,Extension,Done,98,File,doc,1989-05-14T19:13:48,false,,8,fmt/892,application/vnd.wordperfect,Compound WordPerfect for Windows Document,6 onwards
7,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_7,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_7,File_7,Extension,Done,98,File,doc,1989-05-14T19:13:48,false,,8,fmt/754,application/msword,Microsoft Word Document (Password Protected),97-2003
7,3,file://corpus/sip_2014.0037.01082/data/Folder_2/Folder_3/File_7,\corpus\sip_2014.0037.01082\data\Folder_2\Folder_3\File_7,File_7,Extension,Done,98,File,doc,1989-05-14T19:13:48,false,,8,fmt/609,application/msword,Microsoft Word (Generic),6.0-2003
